 sku,image_urls
57740,https://media.deltafaucet.com/elvis/OnWhite/lg/57740-B1.png
57740-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/57740-SS-B1.png
57923,https://media.deltafaucet.com/elvis/OnWhite/lg/57923-B1.png
57923-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/57923-CZ-B1.png
57923-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/57923-RB-B1.png
57923-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/57923-SS-B1.png
58065,https://media.deltafaucet.com/elvis/OnWhite/lg/58065-B1.png
58065-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/58065-CZ-B1.png
58065-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/58065-RB-B1.png
58065-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/58065-SS-B1.png
58066,https://media.deltafaucet.com/elvis/OnWhite/lg/58066-B1.png
58066-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/58066-RB-B1.png
58066-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/58066-SS-B1.png
58465-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58465-PK-B1.png
58467,https://media.deltafaucet.com/elvis/OnWhite/lg/58467-B1.png
58467-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/58467-SS-B1.png
58471-CZ-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58471-CZ-PK-B1.png
58471-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58471-PK-B1.png
58471-PN-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58471-PN-PK-B1.png
58471-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58471-RB-PK-B1.png
58471-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58471-SS-PK-B1.png
58472,https://media.deltafaucet.com/elvis/OnWhite/lg/58472-B1.png
58472-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/58472-CZ-B1.png
58472-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/58472-RB-B1.png
58472-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/58472-SS-B1.png
58473,https://media.deltafaucet.com/elvis/OnWhite/lg/58473-B1.png
58473-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/58473-CZ-B1.png
58473-PN,https://media.deltafaucet.com/elvis/OnWhite/lg/58473-PN-B1.png
58473-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/58473-RB-B1.png
58473-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/58473-SS-B1.png
58480-CZ-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58480-CZ-PK-B1.png
58480-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58480-PK-B1.png
58480-PN-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58480-PN-PK-B1.png
58480-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58480-RB-PK-B1.png
58480-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58480-SS-PK-B1.png
58569-CZ-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58569-CZ-PK-B1.png
58569-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58569-PK-B1.png
58569-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58569-RB-PK-B1.png
58569-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58569-SS-PK-B1.png
58580-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58580-PK-B1.png
58580-PN-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58580-PN-PK-B1.png
58580-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58580-RB-PK-B1.png
58580-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58580-SS-PK-B1.png
58968-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58968-PK-B1.png
58968-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/58968-SS-PK-B1.png
59140-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/59140-PK-B1.png
59140-PN-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/59140-PN-PK-B1.png
59140-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/59140-SS-PK-B1.png
59202-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/59202-PK-B1.png
59202-WH-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/59202-WH-PK-B1.png
59210,https://media.deltafaucet.com/elvis/OnWhite/lg/59210-B1.png
59210-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/59210-CZ-B1.png
59210-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/59210-RB-B1.png
59210-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/59210-SS-B1.png
59310-WH20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/59310-WH20-PK-B1.png
59310-WH-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/59310-WH-PK-B1.png
59344-B20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/59344-B20-PK-B1.png
59344-B-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/59344-B-PK-B1.png
59344-WHB20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/59344-WHB20-PK-B1.png
